date,price,stocks
2018-02-09,12450.0,1087663
2018-02-23,12850.0,1088779
2018-03-02,12950.0,1091364
2018-03-09,12620.0,1096386
2018-03-16,12580.0,1093764
2018-03-23,11305.0,1095407
2018-03-30,11640.0,1090788
2018-04-13,11505.0,1093023
2018-04-20,11555.0,1094455
2018-04-27,11290.0,1100221
2018-05-04,11615.0,1097315
2018-05-11,11680.0,1094391
2018-05-18,11765.0,1099468
2018-05-25,11875.0,1095289
2018-06-01,11680.0,1096752
2018-06-08,11415.0,1092609
2018-06-15,10790.0,1086543
2018-06-22,10480.0,1076652
2018-06-29,10575.0,1077897
2018-07-06,10335.0,1065263
2018-07-13,10325.0,1071098
2018-07-20,10285.0,1064951
2018-07-27,10285.0,1068754
2018-08-03,10155.0,1067402
2018-08-10,12380.0,1074207
2018-08-17,11725.0,1068370
2018-08-24,12480.0,1065804
2018-08-31,12360.0,1061502
2018-09-07,11975.0,1056205
2018-09-14,12330.0,1054147
2018-09-21,12465.0,1055999
2018-09-28,12360.0,1063974
2018-10-12,12305.0,1074075
2018-10-19,12015.0,1079263
2018-10-26,11835.0,1080939
2018-11-02,11370.0,1086487
2018-11-09,11300.0,1095386
2018-11-16,11225.0,1099477
2018-11-23,10730.0,1101049
2018-11-30,11195.0,1092723
2018-12-07,11245.0,1091517
2018-12-14,11295.0,1090594
2018-12-21,11325.0,1090550
2018-12-28,11305.0,1090557
2019-01-04,11845.0,1088877
2019-01-11,11640.0,1086194
2019-01-18,11660.0,1094164
2019-01-25,11610.0,1095083
2019-02-01,11420.0,1096346
2019-02-15,11640.0,1103651
2019-02-22,12515.0,1095004
2019-03-01,12770.0,1102060
2019-03-08,12095.0,1098198
2019-03-15,11850.0,1088609
2019-03-22,12160.0,1091409
2019-03-29,11565.0,1098647
2019-04-12,11930.0,1104280
2019-04-19,11470.0,1109759
2019-04-26,11270.0,1119154
2019-05-10,11775.0,1117988
2019-05-17,12205.0,1121593
2019-05-24,11850.0,1121311
2019-05-31,12250.0,1128082
2019-06-14,11970.0,1127182
2019-06-21,11735.0,1114394
2019-06-28,11355.0,1113309
2019-07-05,11310.0,1103810
2019-07-12,10610.0,1100694
2019-07-19,10715.0,1089859
2019-07-26,10765.0,1081363
2019-08-02,10340.0,1083748
2019-08-09,11625.0,1085328
2019-08-16,11375.0,1082596
2019-08-23,11385.0,1072569
2019-08-30,11815.0,1067798
2019-09-06,11930.0,1060886
2019-09-20,11870.0,1064356
2019-09-27,11425.0,1067460
2019-10-11,11615.0,1078199
2019-10-18,11765.0,1075501
2019-10-25,11855.0,1080505
2019-11-01,11885.0,1087734
2019-11-08,11970.0,1088510
2019-11-15,11910.0,1087917
2019-11-22,12625.0,1088122
2019-11-29,12380.0,1082262
2019-12-06,13280.0,1082886
2019-12-13,13120.0,1081800
2019-12-20,12805.0,1076326
2019-12-27,12850.0,1064863
2020-01-03,12810.0,1066027
2020-01-10,13100.0,1063478
2020-01-17,13075.0,1063073
2020-02-07,11330.0,1077435
2020-02-14,11485.0,1077850
2020-02-21,11720.0,1078302
2020-02-28,10550.0,1079086
2020-03-06,10900.0,1086750
2020-03-13,10540.0,1088704
2020-03-20,9815.0,1090327
2020-03-27,9700.0,1104160
2020-04-03,9670.0,1119337
2020-04-10,10140.0,1138585
2020-04-17,10050.0,1153607
2020-04-24,9960.0,1163748
2020-05-08,10345.0,1171242
2020-05-15,10295.0,1168142
2020-05-22,10190.0,1178181
2020-05-29,10165.0,1180124
2020-06-05,10645.0,1188064
2020-06-12,10375.0,1191010
2020-06-19,10475.0,1194443
2020-07-03,10485.0,1195204
2020-07-10,10495.0,1187837
2020-07-17,10610.0,1192727
2020-07-24,10535.0,1182116
2020-07-31,10840.0,1174737
2020-08-07,12535.0,1167983
2020-08-14,12435.0,1163680
2020-08-21,12380.0,1157228
2020-08-28,12660.0,1146566
2020-09-04,12580.0,1148294
2020-09-11,12210.0,1141778
2020-09-18,12550.0,1139358
2020-09-25,12635.0,1135577
2020-10-09,12900.0,1129956
2020-10-16,13825.0,1128188
2020-10-23,14840.0,1131850
2020-10-30,15680.0,1123699
2020-11-06,14745.0,1127412
2020-11-13,14385.0,1127776
2020-11-20,14230.0,1126911
2020-11-27,15230.0,1126232
2020-12-04,14880.0,1141316
2020-12-11,14495.0,1138182
2020-12-18,14840.0,1137619
2020-12-25,14180.0,1131554
2021-01-08,14820.0,1120296
