date,oil_price,stocks,price_change,stock_diff,rubber_price,rubber_price_change
2014-01-07,93.66999816894533,1022706.0,0.0025687451887577,0.0,16815.0,-0.024934763699623108
2014-01-08,92.33000183105467,1022706.0,-0.0143055019118694,0.0,16735.0,-0.004757656853999426
2014-01-09,91.66000366210938,1022706.0,-0.0072565596843727,0.0,16855.0,0.007170600537794947
2014-01-10,92.72000122070312,1015048.0,0.0115644503190428,-7658.0,16920.0,0.0038564224265795755
2014-01-13,91.8000030517578,1015048.0,-0.0099223269718843,0.0,16340.0,-0.0342789598108747
2014-01-14,92.58999633789062,1015048.0,0.0086055910661291,0.0,16750.0,0.025091799265605896
2014-01-15,94.16999816894533,1015048.0,0.0170644982562562,0.0,16675.0,-0.004477611940298498
2014-01-16,93.95999908447266,1015048.0,-0.0022299998784742,0.0,16675.0,0.0
2014-01-17,94.37000274658205,1016038.0,0.0043635979789737,990.0,16630.0,-0.0026986506746626837
2014-01-20,94.37000274658205,1016038.0,0.0043635979789737,990.0,16830.0,0.01202645820805781
2014-01-21,94.98999786376952,1016038.0,0.0065698325648286,0.0,16425.0,-0.024064171122994638
2014-01-22,96.7300033569336,1016038.0,0.0183177758953054,0.0,16590.0,0.010045662100456543
2014-01-23,97.31999969482422,1016038.0,0.0060994140123571,0.0,16555.0,-0.002109704641350185
2014-01-24,96.63999938964844,1022459.0,-0.0069872616862733,6421.0,16570.0,0.0009060706735124491
2014-01-27,95.72000122070312,1022459.0,-0.0095198486626217,0.0,15950.0,-0.03741701870850933
2014-01-28,97.41000366210938,1022459.0,0.0176556876290627,0.0,15610.0,-0.02131661442006272
2014-01-29,97.36000061035156,1022459.0,-0.0005133256326655,0.0,15635.0,0.0016015374759770218
2014-01-30,98.2300033569336,1022459.0,0.0089359361249792,0.0,15480.0,-0.009913655260633147
2014-01-31,97.48999786376952,1022899.0,-0.0075333957841287,440.0,15480.0,0.0
2014-02-03,96.43000030517578,1022899.0,-0.0108728852376728,0.0,15480.0,0.0
2014-02-04,97.19000244140624,1022899.0,0.0078813868487528,0.0,15480.0,0.0
2014-02-05,97.37999725341795,1022899.0,0.0019548802061843,0.0,15480.0,0.0
2014-02-06,97.83999633789062,1022899.0,0.0047237533112225,0.0,15480.0,0.0
2014-02-07,99.87999725341795,1025952.0,0.0208503780854834,3053.0,15390.0,-0.005813953488372103
2014-02-10,100.05999755859376,1025952.0,0.0018021657000961,0.0,15880.0,0.03183885640025985
2014-02-11,99.94000244140624,1025952.0,-0.001199231662156,0.0,15805.0,-0.004722921914357636
2014-02-12,100.37000274658205,1025952.0,0.0043025844974129,0.0,15755.0,-0.0031635558367605343
2014-02-13,100.3499984741211,1025952.0,-0.000199305289564,0.0,15590.0,-0.010472865756902539
2014-02-14,100.3000030517578,1026925.0,-0.0004982104945042,973.0,15620.0,0.0019243104554200752
2014-02-17,100.3000030517578,1026925.0,-0.0004982104945042,973.0,16360.0,0.04737516005121645
2014-02-18,102.43000030517578,1026925.0,0.0212362630968101,0.0,16140.0,-0.01344743276283622
2014-02-19,103.30999755859376,1026925.0,0.0085912061973656,0.0,16190.0,0.0030978934324659146
2014-02-20,102.91999816894533,1026925.0,-0.0037750401593731,0.0,15570.0,-0.03829524397776407
2014-02-21,102.1999969482422,1026993.0,-0.0069957368199834,68.0,15560.0,-0.0006422607578676631
2014-02-24,102.81999969482422,1026993.0,0.0060665632592533,0.0,14805.0,-0.048521850899742924
2014-02-25,101.83000183105467,1026993.0,-0.0096284562021777,0.0,14590.0,-0.014522120905099634
2014-02-26,102.58999633789062,1026993.0,0.0074633653458717,0.0,14690.0,0.006854009595613331
2014-02-27,102.4000015258789,1026993.0,-0.0018519818578212,0.0,14770.0,0.005445881552076148
2014-02-28,102.58999633789062,1028422.0,0.001855418058404,1429.0,14980.0,0.014218009478673022
2014-03-03,104.91999816894533,1028422.0,0.0227117839382759,0.0,14835.0,-0.009679572763684918
2014-03-04,103.33000183105467,1028422.0,-0.0151543687155845,0.0,14695.0,-0.009437141894169221
2014-03-05,101.4499969482422,1028422.0,-0.018194182226826,0.0,15195.0,0.0340251786321879
2014-03-06,101.55999755859376,1028422.0,0.0010842840183393,0.0,15175.0,-0.0013162224415925738
2014-03-07,102.58000183105467,1034302.0,0.0100433664531394,5880.0,15175.0,0.0
2014-03-10,101.12000274658205,1034302.0,-0.0142327847378789,0.0,14465.0,-0.0467874794069193
2014-03-11,100.02999877929688,1034302.0,-0.0107793110925524,0.0,15215.0,0.05184929139301753
2014-03-12,97.98999786376952,1034302.0,-0.0203938912368514,0.0,15765.0,0.03614853762734138
2014-03-13,98.1999969482422,1034302.0,0.0021430665277146,0.0,15765.0,0.0
2014-03-14,98.88999938964844,1040152.0,0.0070265016583443,5850.0,15740.0,-0.0015857913098635823
2014-03-17,98.08000183105467,1040152.0,-0.0081908945656091,0.0,14985.0,-0.047966963151207076
2014-03-18,99.6999969482422,1040152.0,0.0165170787820538,0.0,14915.0,-0.004671338004671344
2014-03-19,100.37000274658205,1040152.0,0.0067202188450183,0.0,15260.0,0.023131076097888004
2014-03-20,99.43000030517578,1040152.0,-0.0093653722794012,0.0,15175.0,-0.005570117955439047
2014-03-21,99.45999908447266,1046771.0,0.00030170752494,6619.0,15030.0,-0.009555189456342705
2014-03-24,99.5999984741211,1046771.0,0.0014075949219498,0.0,15220.0,0.012641383898868819
2014-03-25,99.19000244140624,1046771.0,-0.0041164260943376,0.0,15510.0,0.01905387647831791
2014-03-26,100.26000213623048,1046771.0,0.0107873744176618,0.0,15520.0,0.0006447453255964408
2014-03-27,101.27999877929688,1046771.0,0.0101735150741413,0.0,15375.0,-0.009342783505154606
2014-03-28,101.66999816894533,1044392.0,0.0038507049205076,-2379.0,15680.0,0.019837398373983683
2014-03-31,101.58000183105467,1044392.0,-0.0008851808745103,0.0,15745.0,0.004145408163265252
2014-04-01,99.73999786376952,1044392.0,-0.0181138406587686,0.0,15785.0,0.0025404890441409478
2014-04-02,99.62000274658205,1044392.0,-0.0012030792035043,0.0,15530.0,-0.016154577130186865
2014-04-03,100.29000091552734,1044392.0,0.0067255385512252,0.0,15425.0,-0.006761107533805544
2014-04-04,101.13999938964844,1048070.0,0.0084754059862561,3678.0,15450.0,0.0016207455429497752
2014-04-07,100.44000244140624,1048070.0,-0.0069210693342544,0.0,15450.0,0.0
2014-04-08,102.55999755859376,1048070.0,0.021107079506736,0.0,15745.0,0.019093851132686135
2014-04-09,103.5999984741211,1048070.0,0.0101404147843622,0.0,15325.0,-0.026675134963480507
2014-04-10,103.4000015258789,1048070.0,-0.0019304725018132,0.0,15115.0,-0.013703099510603556
