date,price,stocks,price_change,stock_diff
2014-01-06,93.43000030517578,1022706.0,-0.0056406852326637,0.0
2014-01-07,93.66999816894533,1022706.0,0.002568745188757715,0.0
2014-01-08,92.33000183105467,1022706.0,-0.014305501911869412,0.0
2014-01-09,91.66000366210938,1022706.0,-0.007256559684372776,0.0
2014-01-10,92.72000122070312,1015048.0,0.011564450319042852,-7658.0
2014-01-13,91.8000030517578,1015048.0,-0.009922326971884332,0.0
2014-01-14,92.58999633789062,1015048.0,0.008605591066129126,0.0
2014-01-15,94.16999816894533,1015048.0,0.017064498256256222,0.0
2014-01-16,93.95999908447266,1015048.0,-0.002229999878474276,0.0
2014-01-17,94.37000274658205,1016038.0,0.004363597978973788,990.0
2014-01-21,94.98999786376952,1016038.0,0.0065698325648286815,0.0
2014-01-22,96.7300033569336,1016038.0,0.018317775895305477,0.0
2014-01-23,97.31999969482422,1016038.0,0.0060994140123571405,0.0
2014-01-24,96.63999938964844,1022459.0,-0.006987261686273394,6421.0
2014-01-27,95.72000122070312,1022459.0,-0.009519848662621788,0.0
2014-01-28,97.41000366210938,1022459.0,0.017655687629062777,0.0
2014-01-29,97.36000061035156,1022459.0,-0.0005133256326655955,0.0
2014-01-30,98.2300033569336,1022459.0,0.008935936124979227,0.0
2014-01-31,97.48999786376952,1022899.0,-0.007533395784128705,440.0
2014-02-03,96.43000030517578,1022899.0,-0.010872885237672825,0.0
2014-02-04,97.19000244140624,1022899.0,0.007881386848752836,0.0
2014-02-05,97.37999725341795,1022899.0,0.001954880206184395,0.0
2014-02-06,97.83999633789062,1022899.0,0.004723753311222545,0.0
2014-02-07,99.87999725341795,1025952.0,0.0208503780854834,3053.0
2014-02-10,100.05999755859376,1025952.0,0.00180216570009617,0.0
2014-02-11,99.94000244140624,1025952.0,-0.001199231662156075,0.0
2014-02-12,100.37000274658205,1025952.0,0.004302584497412942,0.0
2014-02-13,100.3499984741211,1025952.0,-0.00019930528956402238,0.0
2014-02-14,100.3000030517578,1026925.0,-0.0004982104945042698,973.0
2014-02-18,102.43000030517578,1026925.0,0.02123626309681015,0.0
2014-02-19,103.30999755859376,1026925.0,0.008591206197365642,0.0
2014-02-20,102.91999816894533,1026925.0,-0.003775040159373133,0.0
2014-02-21,102.1999969482422,1026993.0,-0.006995736819983445,68.0
2014-02-24,102.81999969482422,1026993.0,0.006066563259253366,0.0
2014-02-25,101.83000183105467,1026993.0,-0.009628456202177782,0.0
2014-02-26,102.58999633789062,1026993.0,0.007463365345871775,0.0
2014-02-27,102.4000015258789,1026993.0,-0.0018519818578212055,0.0
2014-02-28,102.58999633789062,1028422.0,0.001855418058404057,1429.0
2014-03-03,104.91999816894533,1028422.0,0.022711783938275998,0.0
2014-03-04,103.33000183105467,1028422.0,-0.01515436871558451,0.0
2014-03-05,101.4499969482422,1028422.0,-0.018194182226826006,0.0
2014-03-06,101.55999755859376,1028422.0,0.0010842840183393765,0.0
2014-03-07,102.58000183105467,1034302.0,0.010043366453139413,5880.0
2014-03-10,101.12000274658205,1034302.0,-0.014232784737878923,0.0
2014-03-11,100.02999877929688,1034302.0,-0.01077931109255248,0.0
2014-03-12,97.98999786376952,1034302.0,-0.020393891236851425,0.0
2014-03-13,98.1999969482422,1034302.0,0.0021430665277146765,0.0
2014-03-14,98.88999938964844,1040152.0,0.007026501658344397,5850.0
2014-03-17,98.08000183105467,1040152.0,-0.008190894565609175,0.0
2014-03-18,99.6999969482422,1040152.0,0.016517078782053884,0.0
