date,price,stocks,price_change,stock_diff,stock_5y_avg,stock_deviation,event_covid,event_ukraine,event_mideast
2015-01-05,50.040000915527344,1039767.0,-0.0502941313389659,0.0,1035860.25,3906.75,0,0,0
2015-01-06,47.93000030517578,1039767.0,-0.0421662784122138,0.0,1035875.6916996047,3891.3083003952634,0,0,0
2015-01-07,48.650001525878906,1039767.0,0.0150219323204421,0.0,1035891.0118110236,3875.988188976422,0,0,0
2015-01-08,48.790000915527344,1039767.0,0.0028776852057026,0.0,1035906.2117647058,3860.788235294167,0,0,0
2015-01-09,48.36000061035156,1045154.0,-0.0088132874996306,5387.0,1035942.3359375,9211.6640625,0,0,0
2015-01-12,46.06999969482422,1045154.0,-0.0473532027838139,0.0,1035978.1789883268,9175.821011673193,0,0,0
2015-01-13,45.88999938964844,1045154.0,-0.0039071045445655,0.0,1036013.7441860465,9140.255813953467,0,0,0
2015-01-14,48.47999954223633,1045154.0,0.0564393154725586,0.0,1036049.0347490348,9104.965250965208,0,0,0
2015-01-15,46.25,1045154.0,-0.0459983408269946,0.0,1036084.0538461539,9069.946153846104,0,0,0
2015-01-16,48.689998626708984,1055224.0,0.0527567270639779,10070.0,1036157.3869731801,19066.61302681989,0,0,0
2015-01-20,46.38999938964844,1055224.0,-0.0472376114588526,0.0,1036230.1603053436,18993.83969465643,0,0,0
2015-01-21,47.779998779296875,1055224.0,0.0299633414084201,0.0,1036302.3802281369,18921.6197718631,0,0,0
2015-01-22,46.310001373291016,1055224.0,-0.0307659573788605,0.0,1036374.053030303,18849.94696969702,0,0,0
2015-01-23,45.59000015258789,1064097.0,-0.0155474238685378,8873.0,1036478.6679245284,27618.33207547164,0,0,0
2015-01-26,45.150001525878906,1064097.0,-0.0096512091519264,0.0,1036582.4962406015,27514.503759398474,0,0,0
2015-01-27,46.22999954223633,1064097.0,0.0239202210378308,0.0,1036685.5468164794,27411.453183520585,0,0,0
2015-01-28,44.45000076293945,1064097.0,-0.0385031104677092,0.0,1036787.828358209,27309.171641791007,0,0,0
2015-01-29,44.529998779296875,1064097.0,0.0017997303708512,0.0,1036889.3494423792,27207.6505576208,0,0,0
2015-01-30,48.2400016784668,1070430.0,0.0833146867476402,6333.0,1037013.574074074,33416.425925925956,0,0,0
2015-02-02,49.56999969482422,1070430.0,0.027570438849116,0.0,1037136.8819188192,33293.118081180844,0,0,0
2015-02-03,53.04999923706055,1070430.0,0.0702037434670326,0.0,1037259.2830882353,33170.7169117647,0,0,0
2015-02-04,48.45000076293945,1070430.0,-0.0867106228138746,0.0,1037380.7875457875,33049.21245421248,0,0,0
2015-02-05,50.47999954223633,1070430.0,0.0418988389541918,0.0,1037501.4051094891,32928.594890510896,0,0,0
2015-02-06,51.689998626708984,1074756.0,0.0239698711459031,4326.0,1037636.8763636363,37119.123636363656,0,0,0
2015-02-09,52.86000061035156,1074756.0,0.0226349780368928,0.0,1037771.3659420289,36984.63405797107,0,0,0
2015-02-10,50.02000045776367,1074756.0,-0.0537268278432773,0.0,1037904.8844765343,36851.115523465676,0,0,0
2015-02-11,48.84000015258789,1074756.0,-0.0235905696596736,0.0,1038037.4424460431,36718.55755395687,0,0,0
2015-02-12,51.209999084472656,1074756.0,0.048525776504511,0.0,1038169.0501792114,36586.94982078858,0,0,0
2015-02-13,52.779998779296875,1082471.0,0.0306580691836071,7715.0,1038327.2714285714,44143.72857142857,0,0,0
2015-02-17,53.529998779296875,1082471.0,0.0142099283316805,0.0,1038484.3665480427,43986.633451957256,0,0,0
2015-02-18,52.13999938964844,1082471.0,-0.0259667368082592,0.0,1038640.3475177306,43830.65248226945,0,0,0
2015-02-19,51.15999984741211,1082471.0,-0.0187955418816305,0.0,1038795.2261484099,43675.773851590115,0,0,0
2015-02-20,50.34000015258789,1090898.0,-0.016028141072516,8427.0,1038978.6866197183,51919.313380281674,0,0,0
2015-02-23,49.45000076293945,1090898.0,-0.0176797653347381,0.0,1039160.8596491228,51737.14035087719,0,0,0
2015-02-24,49.279998779296875,1090898.0,-0.0034378560367988,0.0,1039341.7587412588,51556.24125874124,0,0,0
2015-02-25,50.9900016784668,1090898.0,0.0346997350147726,0.0,1039521.3972125435,51376.602787456475,0,0,0
2015-02-26,48.16999816894531,1090898.0,-0.0553050287643426,0.0,1039699.7881944445,51198.211805555504,0,0,0
2015-02-27,49.7599983215332,1101201.0,0.0330081007479245,10303.0,1039912.5951557093,61288.40484429069,0,0,0
2015-03-02,49.59000015258789,1101201.0,-0.0034163620313416,0.0,1040123.9344827586,61077.06551724137,0,0,0
2015-03-03,50.52000045776367,1101201.0,0.0187537871005076,0.0,1040333.8213058419,60867.178694158094,0,0,0
2015-03-04,51.529998779296875,1101201.0,0.0199920489386691,0.0,1040542.2705479452,60658.72945205483,0,0,0
2015-03-05,50.7599983215332,1101201.0,-0.0149427610324927,0.0,1040749.2969283276,60451.70307167235,0,0,0
2015-03-06,49.61000061035156,1106378.0,-0.0226555900159238,5177.0,1040972.5238095238,65405.47619047621,0,0,0
2015-03-09,50.0,1106378.0,0.007861305882892,0.0,1041194.2372881356,65183.76271186443,0,0,0
2015-03-10,48.290000915527344,1106378.0,-0.0341999816894531,0.0,1041414.4527027027,64963.54729729728,0,0,0
2015-03-11,48.16999816894531,1106378.0,-0.0024850433693706,0.0,1041633.1851851852,64744.81481481483,0,0,0
2015-03-12,47.04999923706055,1106378.0,-0.0232509648008834,0.0,1041850.4496644295,64527.55033557047,0,0,0
2015-03-13,44.84000015258789,1116000.0,-0.0469712884231435,9622.0,1042098.4414715719,73901.55852842808,0,0,0
2015-03-16,43.880001068115234,1116000.0,-0.021409435352494,0.0,1042344.78,73655.21999999997,0,0,0
2015-03-17,43.459999084472656,1116000.0,-0.009571603769804,0.0,1042589.4817275747,73410.51827242528,0,0,0
2015-03-18,44.65999984741211,1116000.0,0.0276116150073317,0.0,1042832.5629139073,73167.43708609266,0,0,0
2015-03-19,43.959999084472656,1116000.0,-0.015673998328059,0.0,1043074.0396039604,72925.96039603965,0,0,0
2015-03-20,45.720001220703125,1124169.0,0.0400364461529783,8169.0,1043340.7993421053,80828.20065789472,0,0,0
2015-03-23,47.45000076293945,1124169.0,0.0378390090998717,0.0,1043605.8098360656,80563.19016393437,0,0,0
2015-03-24,47.5099983215332,1124169.0,0.0012644374632047,0.0,1043869.0882352941,80299.9117647059,0,0,0
2015-03-25,49.209999084472656,1124169.0,0.0357819579667075,0.0,1044130.651465798,80038.34853420197,0,0,0
2015-03-26,51.43000030517578,1124169.0,0.0451128076001856,0.0,1044390.5162337662,79778.48376623378,0,0,0
2015-03-27,48.869998931884766,1128935.0,-0.0497764215069115,4766.0,1044664.1229773463,84270.8770226537,0,0,0
2015-03-30,48.68000030517578,1128935.0,-0.0038878377503916,0.0,1044935.964516129,83999.035483871,0,0,0
2015-03-31,47.599998474121094,1128935.0,-0.0221857400222706,0.0,1045206.0578778135,83728.94212218653,0,0,0
2015-04-01,50.09000015258789,1128935.0,0.0523109613085501,0.0,1045474.4198717949,83460.58012820513,0,0,0
2015-04-02,49.13999938964844,1128935.0,-0.0189658766229884,0.0,1045741.0670926517,83193.93290734827,0,0,0
2015-04-06,52.13999938964844,1140614.0,0.0610500618083436,11679.0,1046043.2101910828,94570.78980891721,0,0,0
2015-04-07,53.97999954223633,1140614.0,0.0352896082494622,0.0,1046343.434920635,94270.56507936504,0,0,0
2015-04-08,50.41999816894531,1140614.0,-0.0659503779822286,0.0,1046641.7594936709,93972.24050632911,0,0,0
2015-04-09,50.790000915527344,1140614.0,0.0073384125350866,0.0,1046938.2018927445,93675.79810725548,0,0,0
2015-04-10,51.63999938964844,1141906.0,0.0167355475250885,1292.0,1047236.8427672955,94669.15723270446,0,0,0
2015-04-13,51.90999984741211,1141906.0,0.0052285139611716,0.0,1047533.6112852665,94372.38871473353,0,0,0
2015-04-14,53.290000915527344,1141906.0,0.026584493781,0.0,1047828.525,94077.47499999998,0,0,0
2015-04-15,56.38999938964844,1141906.0,0.0581722353323854,0.0,1048121.601246106,93784.39875389403,0,0,0
2015-04-16,56.709999084472656,1141906.0,0.0056747596788051,0.0,1048412.8571428572,93493.14285714284,0,0,0
2015-04-17,55.7400016784668,1147221.0,-0.0171045216304975,5315.0,1048718.7647058824,98502.23529411759,0,0,0
2015-04-20,56.380001068115234,1147221.0,0.0114818688621547,0.0,1049022.7839506173,98198.2160493827,0,0,0
2015-04-21,55.2599983215332,1147221.0,-0.019865248764875,0.0,1049324.9323076922,97896.06769230776,0,0,0
2015-04-22,56.15999984741211,1147221.0,0.0162866730585513,0.0,1049625.226993865,97595.7730061349,0,0,0
2015-04-23,57.7400016784668,1147221.0,0.0281339358145937,0.0,1049923.6850152905,97297.31498470949,0,0,0
2015-04-24,57.150001525878906,1149129.0,-0.010218221950761,1908.0,1050226.1402439023,98902.85975609766,0,0,0
2015-04-27,56.9900016784668,1149129.0,-0.0027996472990409,0.0,1050526.7568389059,98602.24316109414,0,0,0
