date,stocks
2020-05-22,1178181
2020-05-15,1168142
2020-05-08,1171242
2020-05-01,1170054
2020-04-24,1163748
2020-04-17,1153607
2020-04-10,1138585
2020-04-03,1119337
2020-03-27,1104160
2020-03-20,1090327
2020-03-13,1088704
2020-03-06,1086750
2020-02-28,1079086
2020-02-21,1078302
2020-02-14,1077850
2020-02-07,1077435
2020-01-31,1069976
2020-01-24,1066621
2020-01-17,1063073
2020-01-10,1063478
2020-01-03,1066027
2019-12-27,1064863
2019-12-20,1076326
2019-12-13,1081800
2019-12-06,1082886
2019-11-29,1082262
2019-11-22,1088122
2019-11-15,1087917
2019-11-08,1088510
2019-11-01,1087734
2019-10-25,1080505
2019-10-18,1075501
2019-10-11,1078199
2019-10-04,1070187
2019-09-27,1067460
2019-09-20,1064356
2019-09-13,1061944
2019-09-06,1060886
2019-08-30,1067798
2019-08-23,1072569
2019-08-16,1082596
2019-08-09,1085328
2019-08-02,1083748
2019-07-26,1081363
2019-07-19,1089859
2019-07-12,1100694
2019-07-05,1103810
2019-06-28,1113309
2019-06-21,1114394
2019-06-14,1127182
2019-06-07,1130288
2019-05-31,1128082
2019-05-24,1121311
2019-05-17,1121593
2019-05-10,1117988
2019-05-03,1114321
2019-04-26,1119154
2019-04-19,1109759
2019-04-12,1104280
2019-04-05,1105676
2019-03-29,1098647
2019-03-22,1091409
2019-03-15,1088609
2019-03-08,1098198
2019-03-01,1102060
2019-02-22,1095004
2019-02-15,1103651
2019-02-08,1099979
2019-02-01,1096346
2019-01-25,1095083
2019-01-18,1094164
2019-01-11,1086194
2019-01-04,1088877
2018-12-28,1090557
2018-12-21,1090550
2018-12-14,1090594
2018-12-07,1091517
2018-11-30,1092723
2018-11-23,1101049
2018-11-16,1099477
2018-11-09,1095386
2018-11-02,1086487
2018-10-26,1080939
2018-10-19,1079263
2018-10-12,1074075
2018-10-05,1068655
2018-09-28,1063974
2018-09-21,1055999
2018-09-14,1054147
2018-09-07,1056205
2018-08-31,1061502
2018-08-24,1065804
2018-08-17,1068370
2018-08-10,1074207
2018-08-03,1067402
2018-07-27,1068754
2018-07-20,1064951
2018-07-13,1071098
2018-07-06,1065263
2018-06-29,1077897
2018-06-22,1076652
2018-06-15,1086543
2018-06-08,1092609
2018-06-01,1096752
2018-05-25,1095289
2018-05-18,1099468
2018-05-11,1094391
2018-05-04,1097315
2018-04-27,1100221
2018-04-20,1094455
2018-04-13,1093023
2018-04-06,1094094
2018-03-30,1090788
2018-03-23,1095407
2018-03-16,1093764
2018-03-09,1096386
2018-03-02,1091364
2018-02-23,1088779
2018-02-16,1085351
2018-02-09,1087663
2018-02-02,1085402
2018-01-26,1083045
2018-01-19,1076037
2018-01-12,1076872
2018-01-05,1083262
2017-12-29,1088211
2017-12-22,1095274
2017-12-15,1099785
