date,oil_price,stocks,price_change,stock_diff,stock_5y_avg,stock_deviation,event_covid,event_ukraine,event_mideast,rubber_price,oil_price_change,rubber_price_change,flood_TH
2015-01-06,47.93000030517578,1039767.0,-0.0421662784122138,0.0,1035875.6916996049,3891.3083003952634,0.0,0.0,0.0,13625.0,-0.042166278412213876,0.01945379723157492,0
2015-01-07,48.650001525878906,1039767.0,0.0150219323204421,0.0,1035891.0118110236,3875.988188976422,0.0,0.0,0.0,13350.0,0.015021932320442133,-0.020183486238532056,0
2015-01-08,48.790000915527344,1039767.0,0.0028776852057026,0.0,1035906.2117647058,3860.788235294167,0.0,0.0,0.0,13200.0,0.0028776852057026403,-0.011235955056179803,0
2015-01-09,48.36000061035156,1045154.0,-0.0088132874996306,5387.0,1035942.3359375,9211.6640625,0.0,0.0,0.0,13250.0,-0.008813287499630618,0.0037878787878788955,0
2015-01-12,46.06999969482422,1045154.0,-0.0473532027838139,0.0,1035978.1789883268,9175.821011673192,0.0,0.0,0.0,13285.0,-0.04735320278381394,0.0026415094339622414,0
2015-01-13,45.88999938964844,1045154.0,-0.0039071045445655,0.0,1036013.7441860464,9140.255813953469,0.0,0.0,0.0,12920.0,-0.003907104544565554,-0.027474595408355285,0
2015-01-14,48.47999954223633,1045154.0,0.0564393154725586,0.0,1036049.0347490348,9104.965250965208,0.0,0.0,0.0,12425.0,0.05643931547255865,-0.03831269349845201,0
2015-01-15,46.25,1045154.0,-0.0459983408269946,0.0,1036084.053846154,9069.946153846104,0.0,0.0,0.0,12625.0,-0.04599834082699461,0.016096579476861272,0
2015-01-16,48.689998626708984,1055224.0,0.0527567270639779,10070.0,1036157.38697318,19066.61302681989,0.0,0.0,0.0,12650.0,0.05275672706397794,0.001980198019801982,0
2015-01-20,46.38999938964844,1055224.0,-0.0472376114588526,0.0,1036230.1603053436,18993.83969465643,0.0,0.0,0.0,12675.0,-0.047237611458852635,-0.00588235294117645,0
2015-01-21,47.779998779296875,1055224.0,0.0299633414084201,0.0,1036302.3802281368,18921.6197718631,0.0,0.0,0.0,12985.0,0.029963341408420163,0.024457593688362866,0
2015-01-22,46.310001373291016,1055224.0,-0.0307659573788605,0.0,1036374.053030303,18849.94696969702,0.0,0.0,0.0,13220.0,-0.030765957378860564,0.01809780515979975,0
2015-01-23,45.59000015258789,1064097.0,-0.0155474238685378,8873.0,1036478.6679245284,27618.33207547164,0.0,0.0,0.0,13190.0,-0.015547423868537802,-0.0022692889561271024,0
2015-01-26,45.150001525878906,1064097.0,-0.0096512091519264,0.0,1036582.4962406016,27514.50375939847,0.0,0.0,0.0,13070.0,-0.00965120915192641,-0.0090978013646702,0
2015-01-27,46.22999954223633,1064097.0,0.0239202210378308,0.0,1036685.5468164794,27411.453183520585,0.0,0.0,0.0,13320.0,0.02392022103783087,0.01912777352716133,0
2015-01-28,44.45000076293945,1064097.0,-0.0385031104677092,0.0,1036787.828358209,27309.171641791007,0.0,0.0,0.0,13280.0,-0.03850311046770927,-0.0030030030030030463,0
2015-01-29,44.529998779296875,1064097.0,0.0017997303708512,0.0,1036889.3494423792,27207.6505576208,0.0,0.0,0.0,13145.0,0.001799730370851238,-0.01016566265060237,0
2015-01-30,48.2400016784668,1070430.0,0.0833146867476402,6333.0,1037013.574074074,33416.425925925956,0.0,0.0,0.0,12875.0,0.0833146867476402,-0.02054012932674021,0
2015-02-02,49.56999969482422,1070430.0,0.027570438849116,0.0,1037136.8819188192,33293.118081180844,0.0,0.0,0.0,13255.0,0.02757043884911603,0.02951456310679612,0
2015-02-03,53.04999923706055,1070430.0,0.0702037434670326,0.0,1037259.2830882352,33170.7169117647,0.0,0.0,0.0,13280.0,0.07020374346703262,0.0018860807242548905,0
2015-02-04,48.45000076293945,1070430.0,-0.0867106228138746,0.0,1037380.7875457876,33049.21245421248,0.0,0.0,0.0,13500.0,-0.08671062281387465,0.016566265060240948,0
2015-02-05,50.47999954223633,1070430.0,0.0418988389541918,0.0,1037501.4051094892,32928.594890510896,0.0,0.0,0.0,13325.0,0.041898838954191886,-0.012962962962962954,0
2015-02-06,51.689998626708984,1074756.0,0.0239698711459031,4326.0,1037636.8763636363,37119.123636363656,0.0,0.0,0.0,13745.0,0.0239698711459031,0.031519699812382784,0
2015-02-09,52.86000061035156,1074756.0,0.0226349780368928,0.0,1037771.3659420288,36984.63405797107,0.0,0.0,0.0,13680.0,0.02263497803689285,-0.004728992360858442,0
2015-02-10,50.02000045776367,1074756.0,-0.0537268278432773,0.0,1037904.8844765344,36851.11552346568,0.0,0.0,0.0,13555.0,-0.053726827843277314,-0.009137426900584833,0
2015-02-11,48.84000015258789,1074756.0,-0.0235905696596736,0.0,1038037.4424460432,36718.55755395687,0.0,0.0,0.0,13650.0,-0.023590569659673655,0.007008483954260347,0
2015-02-12,51.209999084472656,1074756.0,0.048525776504511,0.0,1038169.0501792114,36586.94982078858,0.0,0.0,0.0,13620.0,0.048525776504511065,-0.00219780219780219,0
2015-02-13,52.779998779296875,1082471.0,0.0306580691836071,7715.0,1038327.2714285714,44143.72857142857,0.0,0.0,0.0,13930.0,0.03065806918360714,0.022760646108663796,0
2015-02-17,53.529998779296875,1082471.0,0.0142099283316805,0.0,1038484.3665480427,43986.633451957256,0.0,0.0,0.0,13880.0,0.014209928331680555,-0.014554490592829206,0
2015-02-18,52.13999938964844,1082471.0,-0.0259667368082592,0.0,1038640.3475177306,43830.65248226945,0.0,0.0,0.0,13155.0,-0.025966736808259228,-0.05223342939481268,0
2015-02-19,51.15999984741211,1082471.0,-0.0187955418816305,0.0,1038795.22614841,43675.773851590115,0.0,0.0,0.0,13155.0,-0.018795541881630573,0.0,0
2015-02-20,50.34000015258789,1090898.0,-0.016028141072516,8427.0,1038978.6866197184,51919.313380281674,0.0,0.0,0.0,13155.0,-0.016028141072516044,0.0,0
2015-02-23,49.45000076293945,1090898.0,-0.0176797653347381,0.0,1039160.8596491228,51737.14035087719,0.0,0.0,0.0,13155.0,-0.01767976533473814,0.0,0
